land_size,crop_type,fertilizer_type,season,month,recommended_quantity,requested_quantity,quantity_ratio,days_since_last_purchase,purchase_count_30d,previous_fraud_count,retailer_risk_score,village_risk_score,otp_verified,officer_approved,transaction_hour,is_repeat_purchase,is_fraud
11.0,sunflower,DAP,Summer,5,440.0,316.65,0.7197,276,4,0,0.54,0.27,1,1,8,1,0
7.7,soybean,Urea,Kharif,7,154.0,138.05,0.8964,129,4,3,0.86,0.99,1,0,12,1,1
1.8,soybean,DAP,Kharif,8,90.0,86.66,0.9629,92,6,0,0.22,0.56,0,1,6,1,0
11.1,groundnut,SSP,Rabi,1,999.0,1171.23,1.1724,30,1,0,0.16,0.61,1,0,7,0,0
8.1,cotton,MOP,Kharif,9,324.0,606.58,1.8722,277,1,1,0.86,0.38,1,1,19,0,1
0.7,maize,DAP,Rabi,1,35.0,50.34,1.4382,17,0,1,0.22,0.94,0,0,7,0,1
5.9,sunflower,SSP,Summer,4,472.0,565.28,1.1976,182,3,0,0.71,0.03,1,1,7,1,0
2.7,sunflower,DAP,Kharif,7,135.0,365.15,2.7048,39,1,0,0.59,0.99,1,1,8,0,1
10.3,cotton,SSP,Kharif,8,1236.0,2424.31,1.9614,85,0,0,0.2,0.96,1,0,13,0,1
2.3,sugarcane,DAP,Rabi,1,184.0,178.3,0.969,161,5,0,0.77,0.28,1,1,15,1,0
7.3,maize,SSP,Rabi,2,730.0,1218.65,1.6694,305,4,0,0.83,0.94,0,1,20,1,1
7.9,sunflower,MOP,Rabi,2,237.0,240.15,1.0133,52,4,0,0.6,0.78,0,0,6,1,1
10.1,sugarcane,Urea,Rabi,11,1212.0,1373.18,1.133,54,5,2,0.55,0.61,0,0,19,1,1
3.5,sunflower,MOP,Rabi,1,105.0,117.21,1.1163,2,0,0,0.72,0.65,0,1,7,0,1
11.4,cotton,Urea,Kharif,6,912.0,943.65,1.0347,66,3,0,0.55,0.37,1,1,15,1,0
10.6,cotton,DAP,Rabi,3,583.0,548.74,0.9412,92,0,1,0.51,0.38,1,1,18,0,0
1.7,paddy,SSP,Summer,4,136.0,88.84,0.6532,117,2,0,0.6,0.73,1,0,9,1,0
4.3,paddy,Urea,Summer,5,215.0,302.75,1.4082,56,0,0,0.62,0.65,1,1,8,0,0
1.0,soybean,Urea,Kharif,9,20.0,20.13,1.0064,344,5,0,0.77,0.03,1,1,20,1,1
4.3,sugarcane,DAP,Summer,4,322.5,352.5,1.093,90,5,0,0.96,0.03,1,1,12,1,1
5.8,sunflower,DAP,Kharif,9,290.0,275.54,0.9501,146,0,0,0.22,0.03,1,0,13,0,0
6.0,wheat,SSP,Kharif,7,540.0,1484.35,2.7488,357,5,0,0.83,0.98,1,0,20,1,1
3.0,sunflower,Urea,Kharif,9,165.0,379.96,2.3028,238,1,0,0.09,0.99,1,1,9,0,0
10.8,sunflower,SSP,Summer,5,864.0,937.59,1.0852,267,2,0,0.54,0.23,0,1,18,1,0
2.2,soybean,DAP,Rabi,12,99.0,222.88,2.2513,170,3,0,0.74,0.38,1,0,9,1,1
0.6,groundnut,MOP,Kharif,7,19.8,37.62,1.8999,280,5,1,0.09,0.76,1,1,19,1,1
8.8,sunflower,DAP,Kharif,10,440.0,429.78,0.9768,289,4,0,0.03,0.96,0,1,14,1,0
3.7,soybean,MOP,Rabi,2,111.0,283.9,2.5576,27,4,3,0.03,0.27,1,1,13,1,1
0.7,cotton,DAP,Rabi,3,38.5,54.14,1.4062,239,1,0,0.09,0.84,1,0,13,0,1
4.1,soybean,SSP,Rabi,12,369.0,432.04,1.1708,322,5,0,0.74,0.84,1,0,9,1,1
6.6,groundnut,Urea,Kharif,9,132.0,155.01,1.1743,216,6,1,0.79,0.1,0,1,16,1,1
9.8,sunflower,SSP,Kharif,7,980.0,621.44,0.6341,126,2,1,0.62,0.65,0,1,19,1,0
10.3,cotton,SSP,Summer,4,1030.0,1052.08,1.0214,306,2,1,0.22,0.17,0,0,11,1,0
6.1,paddy,Urea,Summer,5,305.0,210.17,0.6891,157,1,0,0.34,0.88,1,1,9,0,0
4.0,maize,Urea,Rabi,12,240.0,542.7,2.2613,275,5,2,0.81,0.36,1,0,9,1,1
3.9,groundnut,DAP,Summer,5,156.0,325.04,2.0836,24,2,3,0.77,0.37,1,1,6,1,1
5.9,sunflower,MOP,Rabi,3,177.0,93.72,0.5295,34,0,0,0.22,0.64,0,1,6,0,0
7.5,maize,SSP,Kharif,8,825.0,689.12,0.8353,302,6,3,0.85,0.61,1,1,20,1,1
8.1,cotton,DAP,Rabi,3,445.5,515.02,1.156,210,0,0,0.74,0.21,1,0,14,0,0
7.7,maize,SSP,Rabi,2,770.0,515.27,0.6692,137,1,1,0.77,0.23,0,0,14,0,0
8.4,soybean,MOP,Kharif,9,277.2,812.6,2.9314,307,0,0,0.73,0.99,1,0,14,0,1
8.2,sugarcane,Urea,Rabi,3,984.0,758.12,0.7704,143,3,0,0.97,0.23,1,1,13,1,0
10.4,groundnut,SSP,Rabi,12,936.0,2580.4,2.7568,282,3,0,0.81,0.03,0,0,13,1,1
1.1,groundnut,SSP,Rabi,11,99.0,231.07,2.334,282,2,0,0.22,0.98,0,1,13,1,1
4.1,paddy,SSP,Rabi,2,369.0,997.22,2.7025,332,0,1,0.09,0.99,1,1,9,0,1
11.1,cotton,Urea,Summer,5,721.5,820.34,1.137,260,6,0,0.09,0.17,0,1,18,1,1
6.1,groundnut,SSP,Kharif,8,610.0,1506.34,2.4694,123,5,0,0.81,0.98,0,1,20,1,1
11.8,sunflower,Urea,Rabi,3,590.0,1143.4,1.938,52,6,1,0.62,0.17,1,1,14,1,1
5.9,sugarcane,MOP,Kharif,10,395.3,457.68,1.1578,169,0,1,0.34,0.23,1,0,17,0,0
11.1,maize,Urea,Kharif,7,777.0,412.48,0.5309,356,1,0,0.71,0.99,0,0,7,0,0
8.3,cotton,DAP,Rabi,3,456.5,344.03,0.7536,350,4,0,0.58,0.96,1,0,7,1,1
2.3,sunflower,MOP,Kharif,10,75.9,82.4,1.0856,234,2,1,0.72,0.88,0,0,10,1,1
3.9,soybean,MOP,Rabi,1,117.0,73.31,0.6266,255,5,1,0.22,0.78,1,1,15,1,1
8.3,cotton,Urea,Rabi,11,581.0,581.17,1.0003,226,6,0,0.91,0.61,1,0,16,1,1
10.6,groundnut,MOP,Rabi,3,318.0,768.73,2.4174,174,5,1,0.81,0.61,1,0,10,1,1
1.5,soybean,Urea,Summer,5,22.5,24.88,1.1057,345,2,1,0.09,0.99,0,0,14,1,1
11.3,groundnut,DAP,Rabi,11,508.5,699.16,1.3749,333,2,0,0.6,0.88,0,1,7,1,1
9.0,soybean,DAP,Kharif,7,450.0,278.77,0.6195,209,4,2,0.71,0.64,0,1,16,1,1
4.7,groundnut,Urea,Kharif,7,94.0,169.23,1.8003,233,6,0,0.03,0.36,0,1,10,1,1
6.9,maize,DAP,Kharif,6,379.5,242.07,0.6379,142,0,1,0.03,0.78,0,0,18,0,1
9.6,maize,MOP,Rabi,1,259.2,240.51,0.9279,216,1,0,0.22,0.28,1,1,8,0,0
10.5,sugarcane,SSP,Rabi,11,1680.0,1249.85,0.744,206,6,0,0.22,0.64,0,1,6,1,0
7.7,groundnut,SSP,Kharif,10,770.0,1688.15,2.1924,310,4,0,0.81,0.99,1,0,14,1,1
10.0,soybean,SSP,Rabi,12,900.0,957.32,1.0637,341,2,0,0.81,0.38,1,1,7,1,1
4.8,cotton,Urea,Kharif,10,384.0,281.32,0.7326,63,5,0,0.55,0.17,1,1,14,1,0
2.3,sunflower,DAP,Rabi,2,103.5,121.38,1.1728,143,0,0,0.55,0.73,1,1,11,0,0
11.2,sugarcane,Urea,Rabi,3,1344.0,723.44,0.5383,4,2,0,0.01,0.17,0,1,10,1,0
2.3,sugarcane,MOP,Kharif,10,154.1,171.61,1.1136,81,1,1,0.68,0.28,0,0,15,0,0
6.4,groundnut,SSP,Rabi,2,576.0,1671.31,2.9016,342,4,0,0.62,0.64,0,1,10,1,1
6.2,soybean,DAP,Rabi,3,279.0,324.0,1.1613,257,1,0,0.77,0.88,1,0,12,0,0
4.1,soybean,SSP,Rabi,12,369.0,309.95,0.84,208,0,0,0.09,0.61,1,1,16,0,0
6.5,soybean,MOP,Rabi,12,195.0,357.24,1.832,87,6,0,0.77,0.17,1,1,11,1,1
2.2,wheat,DAP,Summer,5,88.0,197.39,2.243,336,1,0,0.51,0.78,1,1,9,0,1
4.2,groundnut,DAP,Kharif,8,210.0,113.57,0.5408,156,5,1,0.81,0.99,1,0,7,1,1
7.9,wheat,SSP,Kharif,8,711.0,592.09,0.8328,231,0,2,0.55,0.27,1,0,15,0,0
1.5,cotton,Urea,Summer,4,97.5,69.53,0.7131,268,4,0,0.85,0.99,1,1,17,1,1
4.3,groundnut,Urea,Kharif,9,86.0,46.86,0.5448,337,2,3,0.96,0.61,1,0,16,1,1
8.7,wheat,MOP,Kharif,9,234.9,185.46,0.7895,360,5,1,0.79,0.37,1,1,12,1,1
2.6,maize,MOP,Kharif,8,85.8,184.28,2.1478,40,1,0,0.77,0.37,1,1,9,0,1
2.3,cotton,DAP,Rabi,12,126.5,115.6,0.9138,347,2,1,0.91,0.38,1,1,13,1,0
9.5,maize,MOP,Rabi,11,256.5,586.97,2.2884,145,6,1,0.85,0.99,1,1,15,1,1
11.2,wheat,MOP,Rabi,2,336.0,209.03,0.6221,263,3,0,0.22,0.65,1,1,18,1,0
6.3,maize,SSP,Rabi,2,630.0,1696.95,2.6936,51,2,1,0.77,0.1,1,1,11,1,1
0.6,wheat,Urea,Summer,5,33.0,64.54,1.9557,312,5,0,0.03,0.76,0,0,9,1,1
1.8,sunflower,Urea,Rabi,11,90.0,97.03,1.0781,74,5,0,0.83,0.94,0,0,14,1,1
9.5,paddy,SSP,Kharif,8,950.0,2135.05,2.2474,9,2,0,0.96,0.73,0,0,6,1,1
4.6,groundnut,DAP,Rabi,11,207.0,136.91,0.6614,70,1,0,0.81,0.23,1,1,13,0,0
6.7,sugarcane,Urea,Rabi,11,804.0,2040.51,2.538,25,6,1,0.81,0.73,1,0,9,1,1
11.7,sunflower,SSP,Kharif,6,1170.0,1114.18,0.9523,43,6,1,0.97,0.65,0,1,20,1,1
5.4,sunflower,MOP,Kharif,8,178.2,378.42,2.1236,141,3,0,0.34,0.78,1,0,6,1,1
0.9,sunflower,Urea,Rabi,3,45.0,26.3,0.5844,188,5,0,0.54,0.21,1,0,7,1,0
4.1,sugarcane,DAP,Rabi,2,328.0,754.85,2.3014,199,4,2,0.51,0.64,0,1,6,1,1
2.8,cotton,Urea,Kharif,8,224.0,199.42,0.8902,350,6,3,0.85,0.79,1,1,8,1,1
2.5,groundnut,DAP,Rabi,2,112.5,105.98,0.942,253,6,0,0.42,0.94,1,0,9,1,0
12.0,sunflower,SSP,Kharif,7,1200.0,1418.03,1.1817,163,1,0,0.83,0.79,1,1,19,0,0
11.0,paddy,Urea,Kharif,9,715.0,561.56,0.7854,166,1,2,0.01,0.21,0,1,8,0,0
3.7,sugarcane,Urea,Kharif,9,481.0,612.87,1.2741,79,4,0,0.22,0.84,1,1,16,1,1
3.5,maize,SSP,Kharif,10,385.0,362.89,0.9426,280,5,0,0.03,0.64,1,1,16,1,0
5.6,sunflower,SSP,Summer,4,448.0,256.22,0.5719,164,2,1,0.86,0.37,1,1,11,1,0
1.6,sugarcane,SSP,Kharif,10,272.0,326.24,1.1994,168,6,2,0.54,0.21,1,0,12,1,1
1.5,soybean,SSP,Summer,4,120.0,104.39,0.8699,26,0,0,0.62,0.73,1,1,9,0,0
5.1,paddy,SSP,Rabi,1,459.0,538.77,1.1738,284,2,0,0.55,0.98,1,1,15,1,1
1.6,groundnut,MOP,Kharif,9,52.8,47.12,0.8925,261,4,0,0.03,0.98,0,0,11,1,0
4.2,soybean,MOP,Kharif,10,138.6,97.38,0.7026,251,4,1,0.54,0.56,0,1,11,1,1
8.8,paddy,SSP,Summer,5,704.0,1032.06,1.466,27,1,0,0.62,0.84,0,1,16,0,1
0.7,groundnut,SSP,Rabi,3,63.0,33.66,0.5343,314,4,2,0.2,0.38,1,1,12,1,1
6.5,groundnut,DAP,Kharif,8,325.0,673.25,2.0715,182,4,0,0.77,0.17,1,1,20,1,1
11.8,sugarcane,DAP,Rabi,12,944.0,2055.79,2.1777,179,3,0,0.73,0.17,1,1,17,1,1
4.5,cotton,MOP,Rabi,1,157.5,125.4,0.7962,336,3,0,0.68,0.73,1,0,10,1,0
8.2,maize,DAP,Rabi,1,410.0,792.3,1.9324,242,5,0,0.09,0.17,1,0,7,1,1
6.0,maize,MOP,Kharif,6,198.0,235.02,1.187,334,0,0,0.22,0.21,1,1,10,0,0
5.1,sunflower,DAP,Rabi,12,229.5,275.02,1.1984,153,0,0,0.81,0.28,0,1,19,0,0
10.3,sunflower,MOP,Summer,4,278.1,190.61,0.6854,235,1,0,0.09,0.17,1,0,18,0,0
5.4,groundnut,Urea,Kharif,7,108.0,67.99,0.6295,245,1,0,0.71,0.21,0,0,16,0,0
0.6,groundnut,DAP,Rabi,1,27.0,38.11,1.4113,82,2,0,0.09,0.99,1,1,16,1,1
2.0,cotton,SSP,Rabi,12,220.0,209.9,0.9541,282,5,2,0.16,0.38,1,1,15,1,1
6.5,groundnut,Urea,Kharif,10,130.0,138.77,1.0674,104,4,0,0.22,0.76,0,0,7,1,1
5.7,soybean,SSP,Kharif,10,570.0,518.81,0.9102,158,5,1,0.55,0.99,1,1,6,1,1
11.9,wheat,SSP,Rabi,1,1190.0,1426.72,1.1989,70,6,1,0.09,0.21,1,1,10,1,1
8.1,cotton,MOP,Rabi,2,283.5,310.36,1.0948,66,4,1,0.77,0.96,0,0,8,1,1
10.0,maize,SSP,Kharif,6,1100.0,1116.42,1.0149,58,5,0,0.59,0.98,1,1,8,1,0
10.5,maize,Urea,Kharif,7,735.0,1646.0,2.2395,29,1,0,0.77,0.76,1,0,13,0,1
3.2,cotton,DAP,Kharif,7,192.0,566.42,2.9501,303,4,1,0.59,0.28,1,1,10,1,1
5.3,cotton,MOP,Kharif,7,212.0,240.48,1.1344,116,1,0,0.77,0.64,1,1,8,0,0
3.3,maize,MOP,Rabi,11,89.1,77.56,0.8705,275,0,1,0.85,0.73,0,0,7,0,1
6.0,groundnut,MOP,Rabi,1,180.0,129.27,0.7181,246,0,2,0.03,0.27,1,1,9,0,0
8.0,sugarcane,MOP,Kharif,6,536.0,1476.87,2.7554,241,0,1,0.73,0.99,1,0,14,0,1
8.8,sugarcane,DAP,Summer,4,660.0,774.34,1.1732,126,4,0,0.77,0.96,1,1,11,1,1
2.4,groundnut,DAP,Rabi,3,108.0,103.84,0.9615,278,1,3,0.77,0.64,1,1,17,0,1
1.3,cotton,Urea,Summer,4,84.5,88.92,1.0524,317,0,0,0.6,0.73,1,1,14,0,1
8.8,sugarcane,Urea,Kharif,9,1144.0,730.82,0.6388,50,0,0,0.72,0.21,0,1,19,0,0
8.5,sugarcane,Urea,Rabi,11,1020.0,1083.65,1.0624,195,3,0,0.91,0.79,1,1,19,1,1
11.7,wheat,Urea,Summer,4,643.5,979.95,1.5228,24,2,2,0.83,0.64,1,0,9,1,1
9.9,soybean,Urea,Summer,5,148.5,134.67,0.9069,200,4,0,0.83,0.94,1,0,8,1,1
4.5,wheat,SSP,Summer,4,360.0,392.76,1.091,315,4,2,0.74,0.17,1,1,19,1,1
8.3,soybean,Urea,Kharif,10,166.0,97.09,0.5849,43,0,0,0.54,0.88,1,1,10,0,0
5.6,sugarcane,Urea,Rabi,3,672.0,466.81,0.6947,286,3,0,0.51,0.38,1,0,7,1,0
1.5,maize,DAP,Rabi,11,75.0,48.88,0.6518,155,2,0,0.22,0.37,0,0,12,1,0
8.8,sunflower,DAP,Kharif,8,440.0,1173.86,2.6679,203,0,0,0.42,0.61,1,1,7,0,0
11.4,maize,SSP,Kharif,6,1254.0,851.76,0.6792,356,2,0,0.34,0.17,1,1,8,1,0
2.8,cotton,Urea,Rabi,12,196.0,183.71,0.9373,150,6,1,0.2,0.99,0,1,13,1,1
4.8,sunflower,SSP,Kharif,10,480.0,1089.06,2.2689,355,6,0,0.77,0.56,0,1,12,1,1
3.4,groundnut,DAP,Rabi,11,153.0,143.5,0.9379,347,5,0,0.91,0.84,1,0,15,1,1
3.0,groundnut,SSP,Kharif,8,300.0,422.68,1.4089,78,4,0,0.62,0.88,0,0,18,1,1
4.1,sunflower,DAP,Kharif,9,205.0,107.54,0.5246,225,0,1,0.34,0.64,1,0,13,0,0
9.0,cotton,DAP,Kharif,6,540.0,626.73,1.1606,208,1,0,0.72,0.99,0,1,14,0,1
0.6,maize,DAP,Summer,5,27.0,31.84,1.1794,275,0,0,0.74,0.84,1,1,18,0,0
4.5,sunflower,DAP,Rabi,11,202.5,114.28,0.5643,44,4,0,0.01,0.78,1,0,17,1,0
7.1,soybean,DAP,Kharif,8,355.0,238.92,0.673,89,5,0,0.77,0.88,1,0,16,1,1
11.6,sunflower,SSP,Rabi,11,1044.0,1141.94,1.0938,228,6,0,0.09,0.88,0,0,13,1,1
5.8,sunflower,Urea,Kharif,10,319.0,345.41,1.0828,188,4,0,0.59,0.21,1,1,7,1,1
0.9,sugarcane,MOP,Rabi,2,54.0,52.57,0.9736,122,6,0,0.09,0.21,1,1,13,1,0
9.9,paddy,MOP,Kharif,9,326.7,921.39,2.8203,166,1,3,0.86,0.76,0,1,10,0,1
1.2,sugarcane,DAP,Rabi,12,96.0,102.85,1.0713,365,1,0,0.42,0.94,0,1,19,0,0
1.4,wheat,SSP,Kharif,9,126.0,146.15,1.1599,233,2,2,0.59,0.88,1,0,17,1,1
6.6,maize,SSP,Summer,4,594.0,455.56,0.7669,146,6,0,0.59,0.17,1,1,13,1,0
9.5,sunflower,Urea,Rabi,2,475.0,828.1,1.7434,1,3,3,0.22,0.99,1,1,20,1,1
1.4,cotton,Urea,Kharif,7,112.0,69.15,0.6174,120,5,0,0.01,0.27,0,0,16,1,0
0.6,groundnut,Urea,Kharif,7,12.0,17.36,1.4468,118,0,0,0.42,0.64,1,0,17,0,0
2.1,paddy,DAP,Kharif,8,105.0,65.05,0.6195,78,5,2,0.2,0.23,1,1,11,1,1
4.5,soybean,MOP,Rabi,3,135.0,125.34,0.9284,128,0,0,0.59,0.23,1,1,9,0,0
9.1,sugarcane,Urea,Summer,4,1001.0,507.14,0.5066,256,1,0,0.96,0.36,0,1,13,0,0
5.3,cotton,SSP,Rabi,2,583.0,1447.43,2.4827,135,0,0,0.62,0.79,1,1,6,0,1
6.7,cotton,MOP,Rabi,2,234.5,309.31,1.319,80,1,0,0.68,0.56,1,1,10,0,0
10.2,paddy,DAP,Rabi,2,459.0,1135.67,2.4742,314,3,0,0.72,0.36,1,1,20,1,1
9.5,sugarcane,DAP,Kharif,6,807.5,520.53,0.6446,16,0,0,0.59,0.27,1,1,8,0,0
1.1,cotton,MOP,Rabi,3,38.5,37.52,0.9746,60,5,0,0.71,0.84,1,0,10,1,1
6.9,soybean,DAP,Kharif,6,345.0,300.26,0.8703,139,2,1,0.09,0.27,1,0,9,1,0
5.1,sunflower,MOP,Summer,5,137.7,256.52,1.8629,5,3,0,0.68,0.76,0,1,11,1,1
6.8,maize,DAP,Rabi,1,340.0,357.07,1.0502,278,1,0,0.09,0.1,1,1,20,0,0
1.7,maize,SSP,Kharif,8,187.0,378.72,2.0252,48,2,0,0.03,0.88,0,1,6,1,1
5.0,paddy,SSP,Rabi,11,450.0,729.23,1.6205,162,2,2,0.54,0.61,1,1,8,1,1
9.4,wheat,DAP,Rabi,2,470.0,351.82,0.7486,209,2,0,0.85,0.99,1,1,8,1,0
7.4,maize,MOP,Rabi,3,199.8,238.32,1.1928,263,3,0,0.54,0.73,0,1,7,1,1
